NatEmis,Province,name
200501572,EC,BUNENE JUNIOR PRIMARY SCHOOL
200300742,EC,BUNGENI JUNIOR SECONDARY SCHOOL
200200066,EC,BUNGU JUNIOR SECONDARY SCHOOL
200501372,EC,BUNTINGVILLE JUNIOR SECONDARY SCHOOL
200200067,EC,BUNTSHENTSHE PRIMARY SCHOOL
200200068,EC,BURGERSDORP HIGH SCHOOL
200400055,EC,BURGERSDORP PRIMARY SCHOOL
200500068,EC,BURNSHILL JSP SCHOOL
200400056,EC,BURU JUNIOR SECONDARY SCHOOL
200400058,EC,BUSHULA'S JUNIOR SECONDARY SCHOOL
200500069,EC,BUSILA JUNIOR SECONDARY SCHOOL
200600078,EC,BUSY BEES JUNIOR PRIMARY SCHOOL
200600079,EC,BUTHISIZWE LHP SCHOOL
200200069,EC,BUTO JUNIOR SECONDARY SCHOOL
200300721,EC,BUTTERWORTH HIGH SCHOOL
200500070,EC,BUTTVILLE JUNIOR SECONDARY SCHOOL
200300038,EC,BUTULO JUNIOR SECONDARY SCHOOL
200300863,EC,BUWA JUNIOR SECONDARY SCHOOL (MTHATHA)
200200070,EC,BUWA JUNIOR SECONDARY SCHOOL (MOUNT FRERE)
200400059,EC,BUXTON PRIMARY SCHOOL
200300741,EC,BUYANI SENIOR PRIMARY SCHOOL
200500071,EC,BUYOKOYOKO JUNIOR SECONDARY SCHOOL
200400060,EC,BUZONGOMA JUNIOR SECONDARY SCHOOL
200400061,EC,BYLETTS COMBINED SCHOOL
200500072,EC,C.M.BIKITSHA SENIOR PRIMARY SCHOOL
200200071,EC,C.M.VELLEM PRIMARY SCHOOL
200600080,EC,C.W.HENDRICKSE PRIMARY SCHOOL
200600081,EC,CABA JUNIOR SECONDARY SCHOOL (TSOMO)
200400062,EC,CABA JUNIOR SECONDARY SCHOOL (NTABANKULU)
200200072,EC,CABA PRIMARY SCHOOL
200300039,EC,CABA SECONDARY SCHOOL
200100100,EC,CABA SENIOR PRIMARY SCHOOL
200100101,EC,CABANE JUNIOR SECONDARY SCHOOL (MOUNT FRERE)
