name,region,province
Cekwayo Senior Primary School,Qumbu,Eastern Cape
Celetyuma Primary School,Peddie,Eastern Cape
Celinkungu Junior Secondary School,Kokstad,Eastern Cape
Central Primary School,King Williams Town,Eastern Cape
Centuli Junior Secondary School,Mthatha,Eastern Cape
Cenyu Public School,King Williams Town,Eastern Cape
Ceru Junior Secondary School,Butterworth,Eastern Cape
Cetshe Junior Secondary School,Lusikisiki,Eastern Cape
Cetywayo Junior Secondary School,Kokstad,Eastern Cape
Cezu Junior Secondary School,Mqanduli,Eastern Cape
Chabasa Junior Primary School,Port St Johns,Eastern Cape
Chapman Secondary School,Portelizabeht,Eastern Cape
Charles Duna Public School,Port Elizabeth,Eastern Cape
Charles Morgan Pub School,King Williams Town,Eastern Cape
Charley Mbhungele Primary School,Middledrift,Eastern Cape
Charlo Primary School,Port Elizabeth,Eastern Cape
Chatty Secondary School,Portelizath,Eastern Cape
Chebenca Primary Farm School,Maclear,Eastern Cape
Chevy Chase Junior Secondary School,Mount Fletcher,Eastern Cape
Chibini Junior Primary School,Whittlesea,Eastern Cape
Chief Dumile Senior Secondary School,Bizana,Eastern Cape
Chief Henry Bokleni Senior Secondary School,Ntlaza,Eastern Cape
Chief Malefane Junior Secondary School,Queenstown,Eastern Cape
Chief N Z Mtirara Senior Secondary School,Komani,Eastern Cape
Chigwell Primary School,Patensie,Eastern Cape
Chizela Junior Secondary School,Libide,Eastern Cape
Cholaphantsi Junior Secondary School,Mthatha,Eastern Cape
Chris Hani Public Primary School,Dordrecht,Eastern Cape
Christ The King International,Mthatha,Eastern Cape
Christ The King Junior,Queenstown,Eastern Cape
Christ The King Primary School,Queenstown,Eastern Cape
Chubekile Senior Secondary School,Port Elizabeth,Eastern Cape
Chuma Junior Primary School,East London,Eastern Cape
Chumani Junior Primary School,East London,Eastern Cape
Cibeni Junior Secondary School,Nyandeni,Eastern Cape
Cibeni Senior Secondary School,Nyandeni,Eastern Cape
Cibini Junior Secondary School,Matatiele,Eastern Cape
Cikicwayo Senior Primary School,Idutywa,Eastern Cape
Ciko Junior Secondary School,Willowvale,Eastern Cape
Cildara Primary School,Middledrift,Eastern Cape
